sku_id,location_id,on_hand,reserved,in_transit,reorder_point,safety_stock,eoq,last_updated
SKU-001,DC-01,1367.7,73.7,0.0,898.8,299.6,334.4,2026-06-12T17:46:05.280987
SKU-002,DC-01,2457.7,219.7,1193.9,3360.1,1344.0,3169.8,2026-06-12T17:46:05.281237
SKU-003,DC-01,209.5,24.1,116.6,277.4,204.4,545.6,2026-06-12T17:46:05.281247
SKU-004,DC-01,539.3,71.7,0.0,243.9,81.3,209.9,2026-06-12T17:46:05.281256
SKU-005,DC-01,707.5,92.1,130.6,838.8,279.6,616.2,2026-06-12T17:46:05.281267
SKU-006,DC-01,999.7,107.2,0.0,803.7,267.9,396.4,2026-06-12T17:46:05.281274
SKU-007,DC-01,744.9,68.6,286.5,950.3,316.8,839.3,2026-06-12T17:46:05.281280
SKU-008,DC-01,494.1,49.7,203.2,847.1,564.7,1030.1,2026-06-12T17:46:05.281288
SKU-009,DC-01,97.0,14.4,65.6,291.3,116.5,170.1,2026-06-12T17:46:05.281295
SKU-010,DC-01,712.0,63.9,0.0,480.6,395.8,802.7,2026-06-12T17:46:05.281308
SKU-011,DC-01,1.4,0.1,94.2,532.8,392.6,525.4,2026-06-12T17:46:05.281316
SKU-012,DC-01,383.5,73.2,208.3,2187.5,729.2,1507.2,2026-06-12T17:46:05.281328
SKU-013,DC-01,1999.9,177.4,0.0,1204.3,481.7,1186.9,2026-06-12T17:46:05.281334
SKU-014,DC-01,586.1,44.6,0.0,437.0,291.3,458.0,2026-06-12T17:46:05.281340
SKU-015,DC-01,606.6,47.1,350.4,991.7,396.7,1383.0,2026-06-12T17:46:05.281348
SKU-016,DC-01,51.5,3.0,207.4,359.2,179.6,580.6,2026-06-12T17:46:05.281355
SKU-017,DC-01,75.6,13.4,243.2,335.6,223.7,899.9,2026-06-12T17:46:05.281361
SKU-018,DC-01,114.4,13.3,252.3,309.4,254.8,987.4,2026-06-12T17:46:05.281370
SKU-019,DC-01,643.5,97.9,0.0,286.8,211.3,470.7,2026-06-12T17:46:05.281377
SKU-020,DC-01,159.5,15.8,0.0,131.3,108.1,358.8,2026-06-12T17:46:05.281383
