order_date,sku_id,quantity,channel,region
2025-12-14,SKU-001,41.1,online,Midwest
2025-12-15,SKU-001,27.7,online,Northeast
2025-12-16,SKU-001,34.5,wholesale,Northeast
2025-12-17,SKU-001,33.1,online,Northeast
2025-12-18,SKU-001,27.1,retail,Northeast
2025-12-19,SKU-001,32.5,retail,Southwest
2025-12-20,SKU-001,43.0,online,Midwest
2025-12-21,SKU-001,43.9,online,Southeast
2025-12-22,SKU-001,34.5,online,Southeast
2025-12-23,SKU-001,26.9,retail,Northeast
2025-12-24,SKU-001,24.9,online,Midwest
2025-12-25,SKU-001,32.8,retail,West
2025-12-26,SKU-001,31.7,wholesale,West
2025-12-27,SKU-001,34.9,online,Southwest
2025-12-28,SKU-001,44.8,online,Southeast
2025-12-29,SKU-001,34.1,online,Southeast
2025-12-30,SKU-001,35.1,wholesale,Southeast
2025-12-31,SKU-001,36.4,online,West
2026-01-01,SKU-001,32.8,online,Midwest
2026-01-02,SKU-001,28.4,retail,Northeast
2026-01-03,SKU-001,45.8,online,Southeast
2026-01-04,SKU-001,30.7,online,Southwest
2026-01-05,SKU-001,26.1,online,Northeast
2026-01-06,SKU-001,26.2,online,Midwest
2026-01-07,SKU-001,28.7,online,Southwest
2026-01-08,SKU-001,35.8,online,West
2026-01-09,SKU-001,28.4,wholesale,West
2026-01-10,SKU-001,34.9,online,Southwest
2026-01-11,SKU-001,36.8,retail,West
2026-01-12,SKU-001,35.6,online,Southeast
2026-01-13,SKU-001,37.0,online,West
2026-01-14,SKU-001,23.5,online,Northeast
2026-01-15,SKU-001,24.3,online,West
2026-01-16,SKU-001,30.7,online,Southwest
2026-01-17,SKU-001,51.7,retail,Southwest
2026-01-18,SKU-001,41.5,online,Northeast
2026-01-19,SKU-001,31.6,retail,Midwest
2026-01-20,SKU-001,32.7,online,Midwest
2026-01-21,SKU-001,27.8,online,Midwest
2026-01-22,SKU-001,35.3,retail,Southwest
2026-01-23,SKU-001,34.4,wholesale,Midwest
2026-01-24,SKU-001,47.2,retail,Southeast
2026-01-25,SKU-001,28.2,retail,Southwest
2026-01-26,SKU-001,34.5,wholesale,Northeast
2026-01-27,SKU-001,29.4,online,Northeast
2026-01-28,SKU-001,33.8,wholesale,Midwest
2026-01-29,SKU-001,24.1,online,Southwest
2026-01-30,SKU-001,33.8,online,West
2026-01-31,SKU-001,45.2,wholesale,Southwest
2026-02-01,SKU-001,37.5,online,West
2026-02-02,SKU-001,33.3,online,Southwest
2026-02-03,SKU-001,32.1,online,Southeast
2026-02-04,SKU-001,32.7,retail,Southeast
2026-02-05,SKU-001,29.7,online,Midwest
2026-02-06,SKU-001,25.9,retail,Northeast
2026-02-07,SKU-001,33.0,online,Northeast
2026-02-08,SKU-001,33.4,online,Southeast
2026-02-09,SKU-001,19.8,retail,Northeast
2026-02-10,SKU-001,22.6,wholesale,Midwest
2026-02-11,SKU-001,20.4,online,West
2026-02-12,SKU-001,22.2,online,Southwest
2026-02-13,SKU-001,26.7,online,West
2026-02-14,SKU-001,42.0,online,Northeast
2026-02-15,SKU-001,33.3,online,West
2026-02-16,SKU-001,24.9,retail,Northeast
2026-02-17,SKU-001,19.6,retail,Northeast
2026-02-18,SKU-001,21.9,online,West
2026-02-19,SKU-001,20.4,online,West
2026-02-20,SKU-001,21.7,wholesale,West
2026-02-21,SKU-001,40.4,wholesale,Northeast
2026-02-22,SKU-001,23.0,wholesale,Northeast
2026-02-23,SKU-001,30.0,wholesale,Southeast
2026-02-24,SKU-001,20.2,online,Southeast
2026-02-25,SKU-001,28.4,wholesale,Southeast
2026-02-26,SKU-001,22.5,wholesale,Midwest
2026-02-27,SKU-001,28.9,retail,Midwest
2026-02-28,SKU-001,32.3,wholesale,Southwest
2026-03-01,SKU-001,30.8,online,Southeast
2026-03-02,SKU-001,21.0,wholesale,Southwest
2026-03-03,SKU-001,26.0,online,Midwest
2026-03-04,SKU-001,18.0,retail,Southwest
2026-03-05,SKU-001,27.8,retail,Northeast
2026-03-06,SKU-001,28.1,online,Southeast
2026-03-07,SKU-001,25.3,online,Southeast
2026-03-08,SKU-001,26.0,wholesale,Southwest
2026-03-09,SKU-001,19.6,retail,Southwest
2026-03-10,SKU-001,17.6,retail,Southwest
2026-03-11,SKU-001,22.4,wholesale,Southeast
2026-03-12,SKU-001,23.9,online,Midwest
2026-03-13,SKU-001,20.8,retail,Midwest
2026-03-14,SKU-001,30.3,wholesale,Northeast
2026-03-15,SKU-001,19.8,retail,Southwest
2026-03-16,SKU-001,26.9,online,Southeast
2026-03-17,SKU-001,21.5,online,Midwest
2026-03-18,SKU-001,25.3,wholesale,Midwest
2026-03-19,SKU-001,18.9,online,Southwest
2026-03-20,SKU-001,23.2,retail,Southwest
2026-03-21,SKU-001,22.4,retail,Midwest
2026-03-22,SKU-001,30.6,online,Southeast
2026-03-23,SKU-001,18.3,wholesale,Southwest
2026-03-24,SKU-001,17.0,online,Southeast
2026-03-25,SKU-001,22.7,online,Midwest
2026-03-26,SKU-001,20.4,online,Northeast
2026-03-27,SKU-001,16.1,online,Midwest
2026-03-28,SKU-001,22.1,online,Southeast
2026-03-29,SKU-001,25.9,online,West
2026-03-30,SKU-001,20.5,online,Northeast
2026-03-31,SKU-001,16.0,wholesale,Southeast
2026-04-01,SKU-001,20.2,retail,Southwest
2026-04-02,SKU-001,20.2,online,Northeast
2026-04-03,SKU-001,17.7,wholesale,Northeast
2026-04-04,SKU-001,33.2,online,Southeast
2026-04-05,SKU-001,25.4,online,Southwest
2026-04-06,SKU-001,23.0,online,Southwest
2026-04-07,SKU-001,21.6,wholesale,Southeast
2026-04-08,SKU-001,22.6,wholesale,Southeast
2026-04-09,SKU-001,22.7,online,Midwest
2026-04-10,SKU-001,21.7,online,Southeast
2026-04-11,SKU-001,23.7,retail,Northeast
2026-04-12,SKU-001,21.5,online,West
2026-04-13,SKU-001,16.2,retail,West
2026-04-14,SKU-001,17.3,retail,Southeast
2026-04-15,SKU-001,16.1,retail,West
2026-04-16,SKU-001,17.0,wholesale,Midwest
2026-04-17,SKU-001,17.2,retail,Southwest
2026-04-18,SKU-001,24.0,online,Midwest
